,portfolio,alpha,VaR,CVaR
0,Tech,0.95,0.013957320721632227,0.01802009749184556
1,Tech,0.99,0.021324775397896154,0.02358450153830532
2,Financials,0.95,0.013690419787046104,0.016785313224594915
3,Financials,0.99,0.0187094482549508,0.02153510132256272
4,Healthcare,0.95,0.014397467745487327,0.01812096163502681
5,Healthcare,0.99,0.020393437466868114,0.022925958407791297
6,Total_equal_weight,0.95,0.008128612715818275,0.01050932233867811
7,Total_equal_weight,0.99,0.012366056143226703,0.01388918422998156
8,Total_sector_equal,0.95,0.008128612715818275,0.01050932233867811
9,Total_sector_equal,0.99,0.012366056143226703,0.01388918422998156
